var,i,h,n,index_extra,value,lb,ub
x,beans,H3,,,7.0,0.0,15.0
x,beans,H1,,,1.0,0.0,3.0
x,beans,H2,,,4.0,0.0,9.0
x,rice,H3,,,11.0,0.0,15.0
x,rice,H1,,,2.0,0.0,3.0
x,rice,H2,,,7.0,0.0,9.0
x,milk,H3,,,11.0,0.0,15.0
x,milk,H1,,,3.0,0.0,3.0
x,milk,H2,,,7.0,0.0,9.0
x,apples,H3,,,4.0,0.0,15.0
x,apples,H1,,,1.0,0.0,3.0
x,apples,H2,,,2.0,0.0,9.0
u,cal,H3,,,0.36350000000000027,0.0,1.0
u,cal,H1,,,0.36349999999999993,0.0,1.0
u,cal,H2,,,0.36350000000000005,0.0,1.0
u,prot,H3,,,0.36349999999999993,0.0,1.0
u,prot,H1,,,0.36350000000000005,0.0,1.0
u,prot,H2,,,0.7269999999999999,0.0,1.0
u,calc,H3,,,0.36350000000000005,0.0,1.0
u,calc,H1,,,0.3635000000000002,0.0,1.0
u,calc,H2,,,0.3635000000000002,0.0,1.0
y,beans,,,,0.0,0,
y,rice,,,,0.0,0,
y,milk,,,,11.0,0,
y,apples,,,,0.0,0,
y_active,beans,,,,0.0,0,1
y_active,rice,,,,0.0,0,1
y_active,milk,,,,1.0,0,1
y_active,apples,,,,0.0,0,1
dpos,beans,H3,,,0.33333333333333304,0,
dpos,beans,H1,,,0.0,0,
dpos,beans,H2,,,0.0,0,
dpos,rice,H3,,,0.0,0,
dpos,rice,H1,,,0.0,0,
dpos,rice,H2,,,0.3333333333333339,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H1,,,0.6666666666666667,0,
dpos,milk,H2,,,0.0,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H1,,,0.11111111111111116,0,
dpos,apples,H2,,,0.0,0,
dneg,beans,H3,,,0.0,0,
dneg,beans,H1,,,0.33333333333333326,0,
dneg,beans,H2,,,-0.0,0,
dneg,rice,H3,,,0.11111111111111072,0,
dneg,rice,H1,,,0.22222222222222232,0,
dneg,rice,H2,,,0.0,0,
dneg,milk,H3,,,0.666666666666667,0,
dneg,milk,H1,,,0.0,0,
dneg,milk,H2,,,-0.0,0,
dneg,apples,H3,,,0.44444444444444464,0,
dneg,apples,H1,,,-0.0,0,
dneg,apples,H2,,,0.6666666666666665,0,
epsilon,,,,,,0,
